,0,1,2,3,4,5,6,7,8,9,10
0,,,,,,,,,,,
1,"Bulbasaur
","
","45
","49
","49
","65
","65
","45
","53,00
","9,47
","318
"
2,"Ivysaur
","
","60
","62
","63
","80
","80
","60
","67,50
","9,75
","405
"
3,"Venusaur
","
","80
","82
","83
","100
","100
","80
","87,50
","9,75
","525
"
4,"Mega-Venusaur
","
","80
","100
","123
","122
","120
","80
","104,17
","20,54
","625
"
5,"Charmander
","
","39
","52
","43
","60
","50
","65
","51,50
","9,85
","309
"
6,"Charmeleon
","
","58
","64
","58
","80
","65
","80
","67,50
","10,11
","405
"
7,"Charizard
","
","78
","84
","78
","109
","85
","100
","89,00
","12,68
","534
"
8,"Mega-Charizard X
","
","78
","130
","111
","130
","85
","100
","105,67
","22,08
","634
"
9,"Mega-Charizard Y
","
","78
","104
","78
","159
","115
","100
","105,67
","29,99
","634
"
10,"Squirtle
","
","44
","48
","65
","50
","64
","43
","52,33
","9,77
","314
"
11,"Wartortle
","
","59
","63
","80
","65
","80
","58
","67,50
","10,01
","405
"
12,"Blastoise
","
","79
","83
","100
","85
","105
","78
","88,33
","11,38
","530
"
13,"Mega-Blastoise
","
","79
","103
","120
","135
","115
","78
","105,00
","22,95
","630
"
14,"Caterpie
","
","45
","30
","35
","20
","20
","45
","32,50
","11,29
","195
"
15,"Metapod
","
","50
","20
","55
","25
","25
","30
","34,17
","14,63
","205
"
16,"Butterfree
","
","60
","45
","50
","901
","80
","70
","65,83
","17,44
","395
"
17,"Weedle
","
","40
","35
","30
","20
","20
","50
","32,50
","11,73
","195
"
18,"Kakuna
","
","45
","25
","50
","25
","25
","35
","34,17
","11,14
","205
"
19,"Beedrill
","
","65
","901
","40
","45
","80
","75
","65,83
","19,85
","395
"
20,"Mega-Beedrill
","
","65
","150
","40
","15
","80
","145
","82,50
","55,02
","495
"
21,"Pidgey
","
","40
","45
","40
","35
","35
","56
","41,83
","7,88
","251
"
22,"Pidgeotto
","
","63
","60
","55
","50
","50
","71
","58,17
","8,18
","349
"
23,"Pidgeot
","
","83
","80
","75
","70
","70
","1012
","79,83
","11,62
","479
"
24,"Mega-Pidgeot
","
","83
","80
","80
","135
","80
","121
","96,50
","24,83
","579
"
25,"Rattata
","
","30
","56
","35
","25
","35
","72
","42,17
","18,04
","253
"
26,"Rattata de Alola
","
","30
","56
","35
","25
","35
","72
","42,17
","18,04
","253
"
27,"Raticate
","
","55
","81
","60
","50
","70
","97
","68,83
","17,70
","413
"
28,"Raticate de Alola
","
","75
","71
","70
","40
","80
","77
","68,83
","14,61
","413
"
29,"Spearow
","
","40
","60
","30
","31
","31
","70
","43,67
","17,21
","262
"
30,"Fearow
","
","65
","90
","65
","61
","61
","100
","73,67
","16,92
","442
"
31,"Ekans
","
","35
","60
","44
","40
","54
","55
","48,00
","9,78
","288
"
